observation_index,saison,spieltag,spiel,baseline_model,candidate_model,baseline_negative_log_score,candidate_negative_log_score,candidate_score_advantage,cumulative_candidate_score_advantage
297,18/19,34,1,poisson_rolling_306,com_poisson_rolling_306,3.0143672112891693,2.87544070119084,0.13892651009832946,2.2723052327713518
298,18/19,34,2,poisson_rolling_306,com_poisson_rolling_306,2.90636830127022,2.7383833467963683,0.16798495447385164,2.4402901872452034
299,18/19,34,3,poisson_rolling_306,com_poisson_rolling_306,2.9600060020703154,2.8024952716283593,0.15751073044195607,2.5978009176871595
300,18/19,34,4,poisson_rolling_306,com_poisson_rolling_306,3.175880526637627,3.095962368208589,0.07991815842903804,2.6777190761161975
301,18/19,34,5,poisson_rolling_306,com_poisson_rolling_306,2.923663298354086,2.755022711468982,0.16864058688510397,2.8463596630013015
302,18/19,34,6,poisson_rolling_306,com_poisson_rolling_306,3.545664952389984,3.607012816091995,-0.06134786370201084,2.7850117992992907
303,18/19,34,7,poisson_rolling_306,com_poisson_rolling_306,2.9261150642050495,2.7702048023746073,0.1559102618304422,2.940922061129733
304,18/19,34,8,poisson_rolling_306,com_poisson_rolling_306,2.965279912996948,2.82947772250553,0.13580219049141817,3.076724251621151
305,18/19,34,9,poisson_rolling_306,com_poisson_rolling_306,2.9600060020703154,2.8024952716283593,0.15751073044195607,3.234234982063107
306,19/20,1,1,poisson_rolling_306,com_poisson_rolling_306,4.051964444258957,4.3305953491551605,-0.2786309048962039,2.955604077166903
307,19/20,1,2,poisson_rolling_306,com_poisson_rolling_306,3.399513532704603,3.4065545851144776,-0.007041052409874737,2.9485630247570285
308,19/20,1,3,poisson_rolling_306,com_poisson_rolling_306,3.208681975458873,3.1855766274523347,0.023105348006538406,2.971668372763567
309,19/20,1,4,poisson_rolling_306,com_poisson_rolling_306,3.208681975458873,3.1855766274523347,0.023105348006538406,2.9947737207701053
310,19/20,1,5,poisson_rolling_306,com_poisson_rolling_306,3.826616000986334,4.093182370074302,-0.26656636908796827,2.728207351682137
311,19/20,1,6,poisson_rolling_306,com_poisson_rolling_306,2.9582544917297042,2.7911776219377344,0.16707686979196978,2.895284221474107
312,19/20,1,7,poisson_rolling_306,com_poisson_rolling_306,3.027915710769733,2.9166141501890337,0.11130156058069929,3.006585782054806
313,19/20,1,8,poisson_rolling_306,com_poisson_rolling_306,4.4722188824734275,4.928187125466437,-0.4559682429930092,2.550617539061797
314,19/20,1,9,poisson_rolling_306,com_poisson_rolling_306,2.9057248336405763,2.7237730269048512,0.18195180673572509,2.732569345797522
315,19/20,2,1,poisson_rolling_306,com_poisson_rolling_306,3.073634346376096,2.9528138180410792,0.12082052833501677,2.8533898741325388
316,19/20,2,2,poisson_rolling_306,com_poisson_rolling_306,3.120335749919562,3.0553920913908144,0.0649436585287475,2.9183335326612863
317,19/20,2,3,poisson_rolling_306,com_poisson_rolling_306,3.3475707289252767,3.3872771406342395,-0.03970641170896272,2.8786271209523235
318,19/20,2,4,poisson_rolling_306,com_poisson_rolling_306,3.004874874353405,2.8588113030994577,0.1460635712539471,3.0246906922062706
319,19/20,2,5,poisson_rolling_306,com_poisson_rolling_306,2.933129298747147,2.7765588451048018,0.15657045364234534,3.181261145848616
320,19/20,2,6,poisson_rolling_306,com_poisson_rolling_306,3.120335749919562,3.0553920913908144,0.0649436585287475,3.2462048043773635
321,19/20,2,7,poisson_rolling_306,com_poisson_rolling_306,2.906081339257028,2.7300038193071146,0.1760775199499136,3.422282324327277
322,19/20,2,8,poisson_rolling_306,com_poisson_rolling_306,3.004874874353405,2.8588113030994577,0.1460635712539471,3.568345895581224
323,19/20,2,9,poisson_rolling_306,com_poisson_rolling_306,2.9755954618346294,2.8410881528085383,0.1345073090260911,3.7028532046073153
324,19/20,3,1,poisson_rolling_306,com_poisson_rolling_306,3.0699400931169265,2.9418365318908855,0.12810356122604105,3.8309567658333563
325,19/20,3,2,poisson_rolling_306,com_poisson_rolling_306,2.920025749116533,2.7369754940708617,0.1830502550456714,4.014007020879028
326,19/20,3,3,poisson_rolling_306,com_poisson_rolling_306,2.920025749116533,2.7369754940708617,0.1830502550456714,4.197057275924699
327,19/20,3,4,poisson_rolling_306,com_poisson_rolling_306,3.2573726810345676,3.205395004100353,0.0519776769342144,4.2490349528589135
328,19/20,3,5,poisson_rolling_306,com_poisson_rolling_306,4.428867781277589,4.876030084587683,-0.447162303310094,3.8018726495488195
329,19/20,3,6,poisson_rolling_306,com_poisson_rolling_306,2.920025749116533,2.7369754940708617,0.1830502550456714,3.984922904594491
330,19/20,3,7,poisson_rolling_306,com_poisson_rolling_306,3.0420270986024747,2.9352640980416425,0.10676300056083221,4.091685905155323
331,19/20,3,8,poisson_rolling_306,com_poisson_rolling_306,2.920025749116533,2.7369754940708617,0.1830502550456714,4.274736160200995
332,19/20,3,9,poisson_rolling_306,com_poisson_rolling_306,3.0420270986024747,2.9352640980416425,0.10676300056083221,4.381499160761827
333,19/20,4,1,poisson_rolling_306,com_poisson_rolling_306,3.4947349579881504,3.6065489375761075,-0.11181397958795714,4.26968518117387
334,19/20,4,2,poisson_rolling_306,com_poisson_rolling_306,3.518232285510713,3.57381934680096,-0.05558706129024671,4.214098119883623
335,19/20,4,3,poisson_rolling_306,com_poisson_rolling_306,3.839549356797896,4.029063752472425,-0.18951439567452866,4.024583724209094
336,19/20,4,4,poisson_rolling_306,com_poisson_rolling_306,3.6625484882924795,3.852822581952225,-0.19027409365974535,3.834309630549349
337,19/20,4,5,poisson_rolling_306,com_poisson_rolling_306,2.906121374894262,2.7240247176834913,0.18209665721077073,4.01640628776012
338,19/20,4,6,poisson_rolling_306,com_poisson_rolling_306,3.839549356797896,4.029063752472425,-0.18951439567452866,3.826891892085591
339,19/20,4,7,poisson_rolling_306,com_poisson_rolling_306,3.670890650481077,3.789899479390712,-0.11900882890963516,3.707883063175956
340,19/20,4,8,poisson_rolling_306,com_poisson_rolling_306,3.1212969068710876,3.055286308860886,0.0660105980102017,3.7738936611861575
341,19/20,4,9,poisson_rolling_306,com_poisson_rolling_306,3.261965899264645,3.212425385946787,0.049540513317857915,3.8234341745040155
342,19/20,5,1,poisson_rolling_306,com_poisson_rolling_306,3.836550428616107,4.0063564501190285,-0.16980602150292157,3.653628153001094
343,19/20,5,2,poisson_rolling_306,com_poisson_rolling_306,3.379756408347589,3.375992867410673,0.003763540936915888,3.65739169393801
344,19/20,5,3,poisson_rolling_306,com_poisson_rolling_306,2.9106831686650594,2.747420373401326,0.16326279526373355,3.8206544892017433
345,19/20,5,4,poisson_rolling_306,com_poisson_rolling_306,2.9106831686650594,2.747420373401326,0.16326279526373355,3.983917284465477
346,19/20,5,5,poisson_rolling_306,com_poisson_rolling_306,2.9203931585538783,2.7534454885531545,0.16694767000072375,4.150864954466201
347,19/20,5,6,poisson_rolling_306,com_poisson_rolling_306,3.836550428616107,4.0063564501190285,-0.16980602150292157,3.981058932963279
348,19/20,5,7,poisson_rolling_306,com_poisson_rolling_306,2.9106831686650594,2.747420373401326,0.16326279526373355,4.144321728227013
349,19/20,5,8,poisson_rolling_306,com_poisson_rolling_306,3.515847287407098,3.563390095793352,-0.04754280838625391,4.096778919840759
350,19/20,5,9,poisson_rolling_306,com_poisson_rolling_306,2.9342224351974266,2.7843013753537207,0.14992105984370596,4.246699979684465
